1779593918725
4
0,-1012,273,0,0,350,4,180
0,-1012,196,0,-15,0,6,270
0,-1012,199,0,105,0,6,60
1779593919232
4
0,-1012,203,0,165,0,6,30
0,-1012,206,0,0,0,6,17
0,-1012,206,0,0,36,4,283
0,-995,206,125,-1,36,2,180
1779593919754
3
0,-938,205,124,0,36,2,450
0,-931,175,125,-435,0,6,60
1779593920250
6
0,-904,127,124,-15,0,6,210
0,-874,181,124,465,0,6,240
0,-874,184,62,0,0,6,4
0,-872,183,62,0,273,4,26
0,-871,167,62,-495,0,6,30
1779593920772
5
0,-856,105,61,-15,0,6,240
0,-848,118,61,225,0,6,120
0,-847,124,0,0,0,7,22
0,-847,124,0,0,276,3,8
0,-856,124,-125,0,276,3,120
1779593921268
6
0,-867,123,-125,0,276,3,90
0,-901,46,-125,-15,0,7,270
0,-916,58,-125,225,0,7,120
0,-918,64,-62,0,0,7,21
0,-919,64,-62,0,279,3,9
1779593921786
3
0,-958,63,-125,0,279,3,330
0,-981,-4,-125,-195,0,7,180
1779593922299
6
0,-992,-13,-125,-15,0,7,90
0,-1007,0,-125,225,0,7,120
0,-1009,4,-62,0,0,7,18
0,-1015,3,-125,0,282,3,72
0,-1042,-69,-125,-135,0,7,210
1779593922802
4
0,-1049,-73,-125,-15,0,7,60
0,-1094,50,-125,670,0,7,360
0,-1096,64,-62,0,0,7,21
0,-1103,64,-125,0,285,3,69
1779593923319
4
0,-1125,63,-125,0,285,3,180
0,-1159,-13,-125,-15,0,7,270
0,-1167,-11,-125,105,0,7,60
1779593923825
5
0,-1193,55,-125,525,0,7,210
0,-1195,64,-62,0,0,7,15
0,-1198,63,-104,0,288,3,45
0,-1224,-13,-104,-75,0,7,240
1779593924336
4
0,-1227,-14,-104,-15,0,7,30
0,-1239,-1,-103,225,0,7,120
0,-1248,26,-91,405,0,6,90
0,-1273,190,-92,670,0,7,270
1779593924850
6
0,-1275,210,-92,670,0,7,30
0,-1278,229,-46,0,0,7,28
0,-1294,229,-125,0,33,3,152
0,-1300,229,-77,0,33,5,60
0,-1302,229,-35,0,33,2,30
0,-1285,229,125,0,33,2,210
1779593925361
5
0,-1278,229,125,0,33,2,56
0,-1277,229,125,0,0,6,4
0,-1251,273,124,420,0,6,210
0,-1250,274,62,0,0,6,2
0,-1224,274,125,0,356,2,238
1779593925863
2
0,-1170,274,125,0,356,2,432
0,-1160,274,125,0,349,2,78
1779593926378
6
0,-1148,273,125,0,349,2,90
0,-1115,196,125,-15,0,6,270
0,-1103,202,125,165,0,6,90
0,-1101,206,61,0,0,6,19
0,-1098,207,104,-1,36,2,41
1779593926883
1
0,-1035,207,125,-1,36,2,510
1779593927398
1
0,-971,206,125,-1,36,2,510
1779593927907
4
0,-948,205,124,0,36,2,180
